rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7EknynLJTt9YMm1HL37s5D","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,3,11,"8414987"
2,"spotify:track:5Nj2UVsxXAvhfYNpcre3al","Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN","FAMOSINHA","LP Record's",1,2,9,"7869785"
3,"spotify:track:6Emsu0BaMpG0ilZCRT8KHZ","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,4,22,"6964739"
4,"spotify:track:7yRlmQTjZ5pdtlq7ska9mj","Veigh, Supernova Ent","Artista Genérico","Supernova Entertainment",1,1,3,"6883912"
5,"spotify:track:2GylVVMD21R4SqgAt8gGC5","Felipe Amorim, Vitão, BIN, Malibu","Eu Vou na Sua Casa","One Play",5,5,4,"6281015"
6,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",1,6,36,"5840253"
7,"spotify:track:2ejSYn4SfoE07mXPlnYVED","Rafa e Junior, Hugo & Guilherme, DJ Ari SL","Ama Um Maloqueiro","Rafa e Junior",4,7,8,"5735867"
8,"spotify:track:6Kyl2nFgU0J8WBlbBvDv6g","Grupo Menos É Mais","Coração Partido (Corazón Partío) - Ao Vivo","Som Livre",1,8,46,"4977842"
9,"spotify:track:3R8dmcSyROSR73XsdeSd7g","Clayton & Romário","Opa Cadê Eu - Ao Vivo","WM Brazil",4,13,23,"4421404"
10,"spotify:track:4y93vvzu2h8MITw7YyUTcI","Henrique & Juliano","Última Saudade - Ao Vivo","Virgin Music Label And Artist Services (S&D)",1,9,42,"4250750"
11,"spotify:track:0IBCX7PC9NcfFLuyoHxTNt","Zé Neto & Cristiano","Escondendo o Ouro - Ao Vivo","Som Livre",8,11,8,"4218562"
12,"spotify:track:1jxQFCC0ukN7AaUwXWK0N8","DJ Biel Divulga, DJ Dozabri, Mc Lekão","Tipo Nino Vs Kabrinha","Mandela Music",5,12,6,"3823131"
13,"spotify:track:5aMgTcyBPH90hWHhbNKTwR","Diego & Victor Hugo","Entregador de Flor - Ao Vivo em Brasília","Sony Music Entertainment",4,10,44,"3784471"
14,"spotify:track:25CffgwZg6vlUdCsHJijZo","Panda, Ícaro e Gilmar, MJ Records","Baqueado - Ao Vivo","MJ Records.",14,16,17,"3684980"
15,"spotify:track:4EVIYtNeI4O8h0lmE0wycC","Mc Pedrinho, Teko Bolado, Rizzi Get Busy, Tropa da W&S","Encosta na Parede","WMD",14,14,9,"3639992"
16,"spotify:track:40WZQRA3T6WZFIgskIAAz7","Simone Mendes","Saudade Proibida - Ao Vivo","Universal Music Ltda.",1,17,15,"3610621"
17,"spotify:track:3M4HJl7D77l86gL1QXGJHG","Lauana Prado, Simone Mendes","Saudade Burra - Ao Vivo","Universal Music Ltda.",11,15,27,"3572049"
18,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",18,-1,1,"3548272"
19,"spotify:track:2QUl20UtEsH85livMYnbQr","Murilo Huff, Zé Neto & Cristiano","Veneno - Ao Vivo","M Show",5,18,18,"3364968"
20,"spotify:track:10MsXPpQLz5ZrOEZxTtkIm","Ana Castela","Olha Onde Eu Tô","Ana Castela",15,20,7,"3337730"
21,"spotify:track:07kLShG3HTeLXTqnFCqNAJ","Henrique & Juliano","Amigo Da Minha Saudade - Ao Vivo","Virgin Music Label And Artist Services (S&D)",18,19,28,"3257291"
22,"spotify:track:7GNbFvEP3uKNASe3oaLl8U","Mc IG, MC Ryan SP, Mc Negão Original, MC GP, DJ DAVI DOGDOG, DJ Japa NK, DU'L, MC Meno K, Mc guizinho niazi, Nickz Beatz, SiarBeats","Ta Rico Os Menino Do Gueto 🍀","WM Brazil",5,21,11,"3251703"
23,"spotify:track:3ZbetlcfZ0tgVWdvnRzuLB","Talita Mel, Xand Avião","Melzinho","Sua Música Digital",23,23,4,"3197758"
24,"spotify:track:2j7IPPMZt5nE5R4r2AbKZ8","Panda, Humberto & Ronaldo, Ícaro e Gilmar, MJ Records","12 Horas / Pra Você Acreditar - Ao Vivo","MJ Records.",18,26,15,"3065383"
25,"spotify:track:4Hk1gmBr2KVEXr3hHwSgUi","DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15","Mãe Solteira","FORTAL MUSIC",1,25,20,"3032867"
26,"spotify:track:7tesyGMnAFNI0l2xaxcFKi","Henrique & Juliano","Saudade De Quem Eu Sou - Ao Vivo","Virgin Music Label And Artist Services (S&D)",16,22,18,"3011955"
27,"spotify:track:1RnPdd7EKKhKN3E4o4DRsh","Repsaj, ATLXS, Mc Jhey","MONTAGEM BAILÃO","repsaj",21,24,12,"3008449"
28,"spotify:track:3vpmGewnBcIfbm252E3Xx8","Luccas & Rodrigo, Vitor e Luan","Cara da Serenata - Live","L & R PRODUÇÕES",15,27,11,"2986745"
29,"spotify:track:2ZrC9CTs01XkbFPtLbpHzl","Mc Jacaré, DJ JHOW BEATS","Senta e Cala a Boca","Croco Hits",10,34,15,"2979241"
30,"spotify:track:0Im7To74Oqr1wWHqWmkPH1","Murilo Huff","Mulher Sem Ciúme - Ao Vivo","M Show",9,30,7,"2968503"
31,"spotify:track:7tz0PRdO9wOCHL5wr8Rne4","Gustavo Mioto, Ana Castela","Princesa - Ao Vivo","Universal Music Ltda.",28,28,6,"2942001"
32,"spotify:track:44CTudFZ0kbaIF9n0jk7oU","Matheus & Kauan, Ana Castela","Ilusão De Ótica - Ao Vivo","Universal Music Ltda.",13,31,25,"2920087"
33,"spotify:track:45vUvne5AOyx71Dkw7rXZW","Luan Pereira, Zé Felipe, MC Tuto","APOSTAR EM VOCÊ - Ao Vivo","Som Livre",33,33,2,"2919459"
34,"spotify:track:5k7JSycp97vL45zSOoUsTE","Henrique & Juliano","Seja Ex - Ao Vivo","Virgin Music Label And Artist Services (S&D)",20,37,42,"2832389"
35,"spotify:track:708yXS1fLm1gAXFyIQxtX2","Henrique & Juliano","Romântico - Ao Vivo","Virgin Music Label And Artist Services (S&D)",25,29,37,"2800672"
36,"spotify:track:0EfOfW72dE43humkvijiYq","Kaique e Felipe, Luan Pereira","Vacilona - Ao Vivo","Sony Music Entertainment",36,52,3,"2732343"
37,"spotify:track:6vGZfODFI1FxMImSUbdJhz","Zé Neto & Cristiano","Resumindo - Ao Vivo","Som Livre",17,32,8,"2644643"
38,"spotify:track:4pOGEJRVOuaa9oyy7qTGf6","Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo","Fui Mlk","WMD",1,35,34,"2631566"
39,"spotify:track:4W9nFl732s6NdToGaCfiSl","Guilherme & Benuto, Grupo Menos É Mais, Matheus Fernandes","Grau de Maluca - Ao Vivo","Sony Music Entertainment",39,48,2,"2607485"
40,"spotify:track:2TSYxcrcrtLpdbsLY9NmzL","Simone Mendes","Me Ama Ou Me Larga - Ao Vivo","Universal Music Ltda.",3,36,24,"2571311"
41,"spotify:track:79Wou8NwYEFzTyDQudjENF","Diego & Victor Hugo","Desbloqueado - Ao Vivo","Sony Music Entertainment",17,59,52,"2516556"
42,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","ILH Production Co. LLC / Def Jam Recordings",42,-1,1,"2497297"
43,"spotify:track:280QfKhmWGn3LbyB39aA7u","Léo Foguete","Cópia Proibida","Sua Música Digital",5,38,37,"2471484"
44,"spotify:track:1VpOT1TfTivUmFjSGSRt1U","MC LUUKY, MC Jvila, DJ Dael","Olha pra Cara de Quem Te...","EDITORA E GRAVADORA A BASE RECORDS",21,44,18,"2462283"
45,"spotify:track:2gfn28JSINCJGLrUimmu0l","Jorge & Mateus","Cantada Boba - Ao Vivo","Som Livre",11,43,36,"2457519"
46,"spotify:track:2LzXPUzL9sgeRl9a5miHMA","tarisiix, fire hair, WenHard","OUTRA","NOISQTA",36,42,13,"2406812"
47,"spotify:track:4NjI4qbTN70oQZ8Alt9cdC","Kadu Martins, Henry Freitas, Nuzio Medeiros","Ritmo da Sanfoninha (Fomfomrom)","Kadu Martins",17,39,7,"2383432"
48,"spotify:track:7KTYk6K4TSK56iNecGe2R2","DJ Biel Divulga, DJ Dozabri, Mc Lekão","Fica De Quatão","TREM",45,47,9,"2362687"
49,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",30,40,14,"2329777"
