rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4ACbff3fw2FkJ0xtJWilck","Burna Boy","Love","Spaceship/ Bad Habit/Atlantic Records",1,-1,1,"2200647"
2,"spotify:track:3w0eFAME3IxlonearUIaXJ","Famous Pluto, Shallipopi, Zerrydl","Ewo","PLUTOMANIA RECORDS",1,1,4,"1873816"
3,"spotify:track:2I9VVGYMIRBNxmyrZSEQAs","Burna Boy","No Panic","Spaceship/ Bad Habit/Atlantic Records",3,-1,1,"1631717"
4,"spotify:track:4FHlbOMdOcPnOYmfH8dl1Z","Burna Boy","Dem Dey","Spaceship/ Bad Habit/Atlantic Records",4,-1,1,"1615255"
5,"spotify:track:2IocWgGPI0o6rmRDeb7Zrz","BNXN, FOLA","Very Soon","T.Y.E. / EMPIRE",1,2,7,"1436930"
6,"spotify:track:2hZSwKDJFiTnxnvObgiQuB","Burna Boy","No Sign of Weakness","Spaceship/ Bad Habit/Atlantic Records",6,-1,1,"1419373"
7,"spotify:track:4z9TlrCkw6q3O3tUinx32g","Burna Boy","28 grams","Spaceship/ Bad Habit/Atlantic Records",7,-1,1,"1391168"
8,"spotify:track:5dw65VFECI9ffIwIcF6OqD","Burna Boy","Buy You Life","Spaceship/ Bad Habit/Atlantic Records",8,-1,1,"1374269"
9,"spotify:track:5GkkuEEPtYguzhTdCpS8Ab","Olamide, Seyi Vibez, Asake, Young Jonn, Daecolm","99 (feat. Daecolm)","YBNL Nation / EMPIRE",1,3,6,"1305633"
10,"spotify:track:4OGN4GO4yqtWcj4152jJz9","Burna Boy, Travis Scott","TaTaTa (feat. Travis Scott)","Spaceship/ Bad Habit/Atlantic Records",4,77,9,"1247866"
11,"spotify:track:3yaMisjmccUHlzZYgSh9zf","Famous Pluto, Jeriq","Osusu","PLUTOMANIA RECORDS",4,4,4,"1207125"
12,"spotify:track:4bIB2Zt4TYyvqYSDDmJG4y","Burna Boy, Mick Jagger","Empty Chairs (feat. Mick Jagger)","Spaceship/ Bad Habit/Atlantic Records",12,-1,1,"1118186"
13,"spotify:track:5AlqRvqPdsn3KYnDwcgZMI","Burna Boy","Born Winner","Spaceship/ Bad Habit/Atlantic Records",13,-1,1,"1081357"
14,"spotify:track:7agUxGNzZz3eaPqH1PQtSf","Burna Boy","Come Gimme","Spaceship/ Bad Habit/Atlantic Records",14,-1,1,"1018404"
15,"spotify:track:28NElMiahjGMfcE1G8Y6TG","BNXN","Laye Mi","T.Y.E. / EMPIRE",5,5,3,"1000977"
16,"spotify:track:05lhFsOWPXRjfGA7xY7XJz","Seyi Vibez","Pressure","NSNV INC / EMPIRE",1,8,9,"998813"
17,"spotify:track:5GyaXqMfcIGHfmTUITFacS","Davido, Omah Lay","With You (feat. Omah Lay)","Columbia",1,10,13,"957494"
18,"spotify:track:65cRt4uGMzo51AzXqptVsX","Olamide, Wizkid, Darkoo","Billionaires Club","YBNL Nation / EMPIRE",3,6,5,"951286"
19,"spotify:track:3wdV4OJ37JdoLyUJMm50UW","FOLA, Kizz Daniel","lost","Dangbana Republik Records / EMPIRE",2,9,12,"947927"
20,"spotify:track:4iY85F4rh71tpgAGS5qxjO","Burna Boy","Kabiyesi","Spaceship/ Bad Habit/Atlantic Records",20,-1,1,"937156"
21,"spotify:track:6FXCkgH4PR9T15gx8osL5w","Burna Boy, Shaboozey","Change Your Mind (feat. Shaboozey)","Spaceship/ Bad Habit/Atlantic Records",21,124,2,"878256"
22,"spotify:track:4C2mYP71CTiM0PjZpqB4Cs","Burna Boy","Sweet Love","Spaceship/ Bad Habit/Atlantic Records",22,-1,3,"850659"
23,"spotify:track:6WO22RY0WWcN4yKcQb0h32","Burna Boy","Update","Spaceship/ Bad Habit/Atlantic Records",10,-1,21,"845047"
24,"spotify:track:6D09vfVjCFlRxOGdmja0yp","BNXN","I Alone","T.Y.E. / EMPIRE",11,11,3,"823573"
25,"spotify:track:4GHlt0rLK8dOC13iVAk1kO","Burna Boy, Stromae","Pardon","Spaceship/ Bad Habit/Atlantic Records",25,-1,1,"783046"
26,"spotify:track:0BzX5iHjzOJw3j9xK4B5pq","J Hus, Asake","Gold","Militér Music / EMPIRE",6,7,3,"760239"
27,"spotify:track:63cOYqSjpQXEBrMTkBQwrp","Rybeena, Shoday","Gaddem","Dvpper Digital",11,13,5,"755121"
28,"spotify:track:4XHrQHvHWlE0RldeG8Nslq","Famous Pluto","Na Scra","PLUTOMANIA RECORDS",4,19,19,"720614"
29,"spotify:track:7msfmSm4KbVnIds5DvsGzT","Fido","Joy is Coming","Oosha Records / EMPIRE",1,26,30,"713761"
30,"spotify:track:3jzdiPzvbVGH3kSTlsMxNo","Burna Boy","Bundle By Bundle","Spaceship/ Bad Habit/Atlantic Records",4,-1,28,"707920"
31,"spotify:track:2pNjk1fIZTMtj8ry6SdEmB","Faceless, Serøtonin","Venus","2024 Faceless/LVRN Records (Love Renaissance)",4,28,33,"693635"
32,"spotify:track:75NaRkat24l3uKOyfymyzJ","Olamide, Seyi Vibez, Muyeez","Free","YBNL Nation / EMPIRE",4,16,5,"685045"
33,"spotify:track:56lGvDVasowdpufZnBJbuB","Kizz Daniel, FOLA","Titi","FlyBoy INC / EMPIRE",5,18,7,"683452"
34,"spotify:track:5G5R93fhTnLMXVcoIO6QNa","Muyeez","Mortal Kombat","NSNV INC / EMPIRE",13,15,5,"683449"
35,"spotify:track:7dTEOkCQWc8YuHjuaSolSX","BNXN, Seyi Vibez","Set Up","T.Y.E. / EMPIRE",12,12,3,"674828"
36,"spotify:track:5nmYNuBSh99LNDdZ0iSe2O","Zlatan, FOLA","Get Better","Zanku Records, with exclusive license to ONErpm",5,30,17,"664029"
37,"spotify:track:07eJSSPcNlkR34wVlkrCcY","Bella Shmurda, FOLA","Dangbana Riddim","Dangbana Republik, with exclusive license to ONErpm",17,27,14,"658109"
38,"spotify:track:52ZxqHSe1HesJPwuuBiW4U","Seyi Vibez","MARIO KART","NSNV Inc.",3,31,21,"656833"
39,"spotify:track:4WnlAkJ3S0r6C7ofHy6kNP","Kunmie","Arike","CiDAR Africa",1,24,22,"656810"
40,"spotify:track:6Uh5S2WjXoFPkgcVHaQV0d","Ayo Maff, Chike","Realness","OCEANSTREET CREATIVE LTD / EMPIRE",22,25,3,"655603"
41,"spotify:track:32a4IaGEJUhfy45yV5JH84","BNXN","Totori","T.Y.E. / EMPIRE",17,17,3,"653936"
42,"spotify:track:4DREBgUie15tAPq9KQqe2c","Shallipopi, Burna Boy","Laho II","Since 93",3,34,12,"636302"
43,"spotify:track:6dmuFoJ8jYh7kzai2twWNo","BNXN","Jies","T.Y.E. / EMPIRE",14,14,3,"631770"
44,"spotify:track:0lhLSwvRKGHfIcVEz3uQK6","Shallipopi","Laho","Since 93",1,44,21,"616670"
45,"spotify:track:3ZR7IlqBPK8TrJyZYfFX9L","FOLA, Bella Shmurda","who does that? (feat. Bella Shmurda)","Dangbana Republik Records / EMPIRE",9,36,32,"608506"
46,"spotify:track:7L1DT2ByQ331AJkDfjvI5N","Smur Lee, BIGKHALID","Management","Smur Lee/Star Makers Distribution",10,40,23,"597748"
47,"spotify:track:3RMr94P81nO3GtW9MfqNp5","ODUMODUBLVCK, Victony","PITY THIS BOY (with Victony)","Native Sounds/Def Jam PS",1,38,23,"596231"
48,"spotify:track:4FMfmvlC2DpXIQmpYpcdlC","Kidd Carder","Calculate","CiDAR Africa",46,46,5,"594509"
49,"spotify:track:20l4NPs2c9OBKBKUKRjxIy","Monaky","Chandelier","TKM Entertainment",4,39,34,"568701"
50,"spotify:track:5hphSVebVxTpDfrk09W0hS","Seyi Vibez","Doha","Dvpper Digital",5,43,53,"557511"
51,"spotify:track:2iCI6gHilTbSiD8a138KMU","Young Jonn, Asake","Che Che (feat. Asake)","Chocolate City Music",7,33,6,"556978"
52,"spotify:track:61N5fgHj3IPReRcULtXmDI","BNXN, Rema","Fi Kan We Kan","T.Y.E. / EMPIRE",2,23,40,"544997"
53,"spotify:track:0OWPr4POCQ7iH9BGmTxOZV","ODUMODUBLVCK","LEGOLAS","Native Sounds/Def Jam PS",13,47,16,"532404"
54,"spotify:track:1136eJrkWsDvReASbjLTaU","Fido","Awolowo","Heatwave Records",1,51,48,"528139"
55,"spotify:track:2zZzFhWHYeCSaoejZzkDfe","BNXN","5hrs Till Nairobi","T.Y.E. / EMPIRE",20,20,3,"525719"
56,"spotify:track:0C3zMmE4yo1qBq6MGfkwX0","Olamide, Wizkid","Kai!","YBNL Nation / EMPIRE",2,41,12,"524257"
57,"spotify:track:2hODYSmDyWMu2C2XN4bgOV","Seyi Vibez","SHAOLIN","NSNV Inc.",1,55,21,"514410"
58,"spotify:track:1lWcw1YdBbYbFzJ9BKyDqc","Blaqbonez","Go Crazy","Chocolate City Music",21,21,2,"507276"
59,"spotify:track:0mCxHKr5bp05PMdD7jU4rW","Kizz Daniel, ODUMODUBLVCK, Bella Shmurda","Al-Jannah","FlyBoy INC / EMPIRE",3,50,7,"492512"
60,"spotify:track:0Q1bMs3xLQiDEeaneehdxv","Asake","Remember","YBNL Nation / EMPIRE",12,54,109,"491955"
61,"spotify:track:6zZixF6uYbtG8uiNzDO2LH","Davido, ODUMODUBLVCK, Chike","Funds (feat. ODUMODUBLVCK & Chike)","Columbia",1,56,32,"488491"
62,"spotify:track:51yPymXsGbEyh7InU6yRJP","BNXN","Captain","T.Y.E. / EMPIRE",22,22,3,"476646"
63,"spotify:track:1pheB3ku1OKy80SaB8VXqG","BNXN, Victony","Cough Syrup","T.Y.E. / EMPIRE",32,32,2,"460544"
64,"spotify:track:2GSK9VfsKWpVOV6ZzKiMA4","FOLA, BNXN","alone - Remix","Dangbana Republik Records",7,58,41,"456916"
65,"spotify:track:7mdvPu1ZAOIgMzr3sfpAqk","Chella","My Darling","Chella Music / 222 Ent.",1,57,16,"456189"
66,"spotify:track:1Ss5QjczHsdYkvNsiBmoqS","Muyeez, Seyi Vibez","Instagram","Dvpper Digital",1,59,64,"453834"
67,"spotify:track:5LDB1Cal2PnHN3Ioy84SdN","Zhus Jdo, Famous Pluto, Smur Lee","1 WORK - Remix","Steady Grinding Inc.",12,35,6,"449667"
68,"spotify:track:00uXDC6A3RK2HJlTK6h0Ak","Olamide","Luvaluvah","YBNL Nation / EMPIRE",9,42,5,"448805"
69,"spotify:track:3vgvtiGZeVl1eclWWKWmvS","BNXN, Soweto Gospel Choir","In Jesus Name","T.Y.E. / EMPIRE",37,37,2,"444050"
70,"spotify:track:1cUFHO2Df89MUmSvT0kkwO","BNXN","Phenomena","T.Y.E. / EMPIRE",23,29,48,"434832"
71,"spotify:track:1xFkc8KXwVk1FoG5xhcU3H","Barry Jhay","See Me See God (SMSG)","Ziiki Media",13,52,14,"430107"
72,"spotify:track:6NOrpcicPUh2eaj8bAD44u","Rema","Baby (Is it a Crime)","Mavin Global Holdings Ltd",1,65,23,"424039"
73,"spotify:track:10y7iW3rc8bzGbhAC3mNPA","Ayo Maff","Are you there?","AYO MAFF",3,63,48,"409527"
74,"spotify:track:6JvWMLscnWYkgX1zPufIGT","Wizkid","Kese (Dance)","Starboy/RCA Records",1,76,36,"404391"
75,"spotify:track:5EMD7ozaMBD2GJCUHD5nVn","FOLA","Feeling","Fola / FPR Distro",37,66,16,"393932"
76,"spotify:track:4uLBwGnr1U3ctcDZrnVEgK","Asake","WHY LOVE","Giran Republic",3,71,23,"385423"
77,"spotify:track:13VXuHw3O8Yt7VwRIDqSo4","Asake, Wizkid","MMS","YBNL Nation / EMPIRE",1,70,50,"385153"
78,"spotify:track:5Wxkvvb6pLky16pwq4gBI3","Ayo Maff, Fireboy DML","Dealer","Tunesbid / Ocean street",1,67,66,"380590"
79,"spotify:track:2i5PqDEsME85JezRrq6BJy","Ayo Maff, BNXN","Oshimiri","OCEANSTREET CREATIVE LTD / EMPIRE",45,74,3,"363341"
80,"spotify:track:0VjzaXw81JQJM61pzWwP8b","Asake","Nzaza","YBNL Nation / EMPIRE",6,69,120,"363080"
81,"spotify:track:2NQSSMmLLt33liE9HiBA9Z","BNXN","Yes Sir","T.Y.E. / EMPIRE",48,48,2,"359700"
82,"spotify:track:3H2bLX6U4kNuv04iTkCrSp","Kvng Vinci, Zerrydl","HAUSAPIANO - Remix","Heatwave Records",4,68,37,"355757"
83,"spotify:track:00rF3IcALduft62LcN8grm","Ayo Maff","Panic","OCEANSTREET CREATIVE LTD / EMPIRE",17,72,24,"344560"
84,"spotify:track:5prVT2iyY2M7cP1wqnNc7P","BNXN","Cutesy","T.Y.E. / EMPIRE",45,45,6,"342596"
85,"spotify:track:0SmcKaXjPCCK7nq0coN6B2","Ayo Maff, Seyi Vibez","Gang","OCEANSTREET CREATIVE LTD / EMPIRE",33,64,4,"337103"
86,"spotify:track:4OnCrs3h948Ee4yLLTcaRx","ODUMODUBLVCK, Smur Lee, Shallipopi","JUJU (with Smur Lee & Shallipopi)","Native Sounds/Def Jam PS",1,84,47,"329659"
87,"spotify:track:3XdP8yLlx1xrkbDmVtIJIn","Olamide","Hasibunallah","YBNL Nation / EMPIRE",11,61,5,"326264"
88,"spotify:track:3x9DYVYPjglofHphO73maY","BNXN","Eleyi","T.Y.E. / EMPIRE",49,49,3,"325349"
89,"spotify:track:2YwBdxvMFsWUSCaL1U6xIg","Seyi Vibez","HAPPY SONG","NSNV Inc.",4,88,21,"322780"
90,"spotify:track:5VKXfM7SWob2onq118RjYJ","Gaise Baba, Lawrence Oyor","No Turning Back II","464 Projects",3,83,9,"321114"
91,"spotify:track:1k51Q6GFWBbsaWlBB2gnzo","Ayra Starr, Wizkid","Gimme Dat (feat. Wizkid)","Republic Records",2,89,12,"319422"
92,"spotify:track:2j8n2hpZlEMvtrjJ7n0ZIy","Wizkid, Asake","Bad Girl (feat. Asake)","Starboy/RCA Records",1,91,35,"318547"
93,"spotify:track:2LP8KwtvzUx1onvXKQCoKR","ODUMODUBLVCK, Black Sherif","WOTOWOTO SEASONING (feat. Black Sherif)","Native Sounds/Def Jam PS",2,86,85,"317245"
94,"spotify:track:4jcrO2T6XJ1B7hXsAEJ3ve","BNXN","Pidgin & English","T.Y.E. / EMPIRE",6,78,94,"313661"
95,"spotify:track:1lcFhGrPvib79Hqm7umnKs","T.I BLAZE","Trenches Luv","Dvpper Digital",19,94,22,"313125"
96,"spotify:track:2aisLWyo4vnIsh7yJHweaN","Spyro, Shoday","Sweet","TAP Music",41,75,8,"310005"
97,"spotify:track:6x1R2hxbuFu8SfwnfuEddZ","Zlatan","Happy Day","Zanku Records, with exclusive license to ONErpm",62,62,2,"309764"
98,"spotify:track:1dKs7tZ3xfoDn2Ap7tgzRv","BNXN","Ashimolowo","T.Y.E. / EMPIRE",53,53,2,"307978"
99,"spotify:track:3qS4spuVywoeh9uGIpRuQh","Rema","Bout U","Mavin Global Holdings Ltd",2,81,14,"307260"
