rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6xlxghvkH5yDv93NoHlWOx","MaWhoo, GL_Ceejay, Thukuthela, Jazzworx","Bengicela (feat. Jazzworx)","MaWhoo Entertainment",1,1,5,"1064810"
2,"spotify:track:1d3srkotnZxmQhsqbIu9jv","Jazzworx, GL_Ceejay, Thukuthela, MaWhoo","Tholukuthi (Clap Song) (feat. MaWhoo)","Jazzworx & Thuluthela / EMPIRE",2,2,3,"901738"
3,"spotify:track:73MJ65QLIfsU2GyCt5KQ3a","Jazzworx, MaWhoo, Thukuthela, GL_Ceejay","Uzizwa Kanjan","Waltz Music Group / EMPIRE",1,4,12,"835704"
4,"spotify:track:7c5uGV9Rys18JP2570ykTu","CIZA, Jazzworx, Thukuthela","Isaka (6am)","LVRN Records (Love Renaissance)",1,3,14,"799553"
5,"spotify:track:62auSQwzIlyVuqUsxd4w63","DJ Maphorisa, Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)","New Money Gang Records",4,5,16,"784656"
6,"spotify:track:4nP3JxLWurlrvollaDlxsJ","Dlala Thukzin, Zee Nxumalo, SYKES","Mali","Dlala Records (PTY) Ltd",3,6,12,"663876"
7,"spotify:track:0DGP0pRR8yz4OW2xxjIskt","Issa sisdoh, Ancestral Rituals","Vuma Dlozi Lami (feat. Ancestral Rituals)","Issa Sisdoh",1,7,38,"525455"
8,"spotify:track:24fRfn3FOM4xk02aE4wief","Oscar Mbo, Jazzworx, Thukuthela","Vuka (feat. Thukuthela)","The Ashmed Hour Records",1,8,28,"500824"
9,"spotify:track:1x4yHR7HJ0ZQCQVjXb2Vc8","NHLOSO KHWELA, Shenge wasehlalankosi","UNIKHODIMA","5466398 Records DK",8,10,10,"481238"
10,"spotify:track:2Ufc72Ojfx9lR30r5srBPB","Shandesh, Mvzzle","Sdudla or Slender","Shandesh Music",1,9,18,"449677"
11,"spotify:track:6NiiHhJPTeSaJR2TfDzpPz","Tyla","IS IT","Epic",11,-1,1,"424252"
12,"spotify:track:0BWHYs2o4OGjJlvhFlrmTS","Thukuthela, Jazzworx, Sykes, Major League Djz","uMA weNGANE (feat. Major League DJz)","Jazzworx & Thuluthela / EMPIRE",12,-1,1,"406014"
13,"spotify:track:5JjQdivvXPrnjeEoxE16WD","Shandesh, Shebeshxt, King Salah, Kaycherlow NLL","Warning","Shandesh Music",7,11,8,"360849"
14,"spotify:track:2tUXE87QNnoVQZApV3uyVZ","Zee Nxumalo, TBO, PYY Log Drum King, Dj Tearz, Dr Thulz","Ngisakuthanda","Platoon",2,14,41,"337145"
15,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",7,16,23,"336597"
16,"spotify:track:3CLA4E7HOX6MBSjZG7hyhm","Shandesh, Mvzzle, Abi wa Mampela, Naleboy Young King","Di Chopper","Shandesh Music",3,13,14,"323995"
17,"spotify:track:5wYyy08pvNomxBKFa3Bfj6","Uncle Waffles, Royal MusiQ, Uncool MC, Xduppy, CowBoii","ZENZELE (feat. Royal MusiQ, Uncool MC, Xduppy, & CowBoii)","KO-SIGN PTY LTD",10,17,23,"317493"
18,"spotify:track:79r4mAwHBAB1x5QnImlUM6","Mshinwemali, Shenge wasehlalankosi","Ncono Siyeke","Insika Yethonga",13,21,42,"316343"
19,"spotify:track:6VBfzBgHu8tFeeg2ZQO4gH","MENZI MUSIC","Wayengenalutho","MENZI MUSIC PRODUCTION",6,20,31,"311206"
20,"spotify:track:2QVyLdd8FNg33pm5qfju1g","Sminofu, Zee Nxumalo","Sajola Kamnandi","Maskandi Heavyweight / EMPIRE",7,19,13,"305278"
21,"spotify:track:57GsLpRtEtrzcPGPop20rS","Drake","What Did I Miss?","OVO/Republic",12,12,2,"305198"
22,"spotify:track:3bM6G6G4kcoeTAMdFDPKEB","Janesh, Hitboss SA","Ngwanaka","Janesh",14,15,13,"294004"
23,"spotify:track:7hO6BIPeHb0Y5v9bgXoxKg","Dlala Thukzin, Zeh McGeba, MK Productions","Sohlala Sisonke","Dlala Records (PTY) Ltd",5,18,42,"288573"
24,"spotify:track:3syMLKva34f23h5FBaMTUE","UNjoko, LIMIT NALA","Uyisela","UNjoko",24,25,5,"279733"
25,"spotify:track:659qsb8NZaTuNubJDk1gaD","DJ Maphorisa, Xduppy, Enny Man Da Guitar, Focalistic, Ricky Lenyora, Uncool MC, Mellow & Sleazy","Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)","New Money Gang Records",19,22,16,"264848"
26,"spotify:track:3JW9hNUjUN51X9jZyn2HVV","Goon Flavour, Master KG, Eemoh","Ngishutheni","Wanitwa Mos Entertainment",19,24,11,"260956"
27,"spotify:track:1y8zzw3sYud9aHmAK8ujV6","Naleboy Young King, Shandesh, King WaveMusiq","Shapa Bell (feat. King WaveMusiq)","Naleboy Music",16,23,19,"254351"
28,"spotify:track:3RCMGDpJlWeEgCLhOz63oa","MENZI MUSIC","Ngiyakuthanda","MENZI MUSIC PRODUCTION",12,27,31,"253072"
29,"spotify:track:1SBdVvoxfFvuO6BVY9WqnI","LIMIT NALA","Uvume Kanjani?","LIMIT NALA MUSIC",4,26,17,"233263"
30,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",30,31,3,"231368"
31,"spotify:track:7lqlmV3prYYMQvyswraACT","Umdumazi, Mjolisi","Ubambo lwami","Mdumazi Music Production",29,30,5,"227470"
32,"spotify:track:021iZJ1jjc6cZZ4sMXvcW9","Naledi Aphiwe, Mawelele","Romeo & Juliet","Naledi Aphiwe",2,29,26,"223174"
33,"spotify:track:5tIt860TkOItU0BRafiyzd","Mthandeni SK","Sigade Umzila","Mthandeni Music Production",11,32,33,"204590"
34,"spotify:track:1Q91MW5mh1XJsYwYHQ5BMt","Kabza De Small, Njelic, Mthunzi, Mkeyz, GL_Ceejay, Simmy","Eningi (Remix) (feat. Njelic, GL_Ceejay, Mthunzi, Mkeyz & Simmy)","Piano Hub",28,28,2,"203552"
35,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",35,36,3,"200273"
36,"spotify:track:21lD8ZDP6nbEAUtoSQl032","Umafikizolo","Awsukanini","Insika Yethonga",25,33,17,"200148"
37,"spotify:track:16B7JnyBsNloQWuWHtUGu7","Umafikizolo","Ngimile Mpo","Insika Yethonga",32,40,14,"199793"
38,"spotify:track:22bnNEyLrkg42wFxn38HS0","Bukzin Keyz","Bafoo 10.9","6172300 Records DK",38,161,2,"194272"
39,"spotify:track:0g4THZww7f6sb8Z8guw9I5","Mahostela 97, Shenge wasehlalankosi","Ngikheth' utshwala","5833909 Records DK",39,68,6,"187361"
40,"spotify:track:0zSGfaxDJWmzfRT67F4dnM","Mthandeni SK, MaWhoo","Gucci","Mthandeni Music Production",1,38,42,"185705"
41,"spotify:track:0OMHMgH263gIrUcszYYivV","Kelvin Momo, Da Muziqal Chef, Thatohatsi, Tracy","Emhlabeni (feat. Thatohatsi & Tracy)","Kelvin Momo Productions",10,37,7,"185392"
42,"spotify:track:1blpjqXA4y03pWHnDbhs9l","Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi","Bo Gogo (feat. Tracy & Thatohatsi)","Kelvin Momo Productions",7,41,31,"184998"
43,"spotify:track:73XTer5tuPKNstPEW1eKwL","Mawelele, Naledi Aphiwe","Naledi","ONE FIFTY EMPIRE /gamma.",14,42,19,"183782"
44,"spotify:track:60NQDPeMwd5mpfrWS5RmrB","Mabotho s, Dj Lekusto","Kgatsa dinoka","2448501 Records DK",29,39,10,"181792"
45,"spotify:track:3bqCtq5RcPzULlyqkFGVJ7","Umafikizolo, Umashotana","Ngathi Nguye","Insika Yethonga",3,44,58,"174082"
46,"spotify:track:688pDxv1DOQKj4Z4uiB76w","Danya Devs","Asambe","Dolphin FC",43,43,8,"173797"
47,"spotify:track:4cLlF0b1UDV2A3yAJD3QFa","Shandesh, Mvzzle","Resa Fola","LoudNoise Musiq",37,50,10,"172459"
48,"spotify:track:6txAWGckgEGJIhLjhNdtE9","Chris Brown","Residuals","Chris Brown Entertainment/RCA Records",10,46,62,"172439"
49,"spotify:track:7L3lI5gLo96jrvwZmaIVqA","NHLOSO KHWELA, Shenge Wasehlalankosi","iDliso 2","5466398 Records DK",49,55,8,"170856"
50,"spotify:track:4iuNZTcvT9diFySSzVsnVS","Fantasia","When I See U","J Records",26,48,271,"170829"
51,"spotify:track:2QqCjFfWbjMSRo2vscPJBr","Shandesh, DJ Janisto, King Salah","Mamenemene","Shandesh Music",22,45,10,"167445"
52,"spotify:track:0fzMIBpjLCRJuO7aI0p6Hw","Masinga Sgqoko Sembongolo","Angikwazi ukukhuluma","3446464 Records DK",39,49,24,"165303"
53,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",5,47,61,"164751"
54,"spotify:track:26p2ruouYOz0AWMqcDkXPU","Romeo Makota, Eemoh","Abangifuni","Kotela Music",13,34,13,"163779"
55,"spotify:track:4EI8VuxUuIHKfafU72emqz","Mariah Carey","We Belong Together","Def Jam Recordings",36,57,176,"162803"
56,"spotify:track:2LeOHKRLm1Bz7eeNVinUYs","Nontokozo Mkhize","Esandleni","Sginci Media / EMPIRE",2,52,32,"158597"
57,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",57,77,3,"157787"
58,"spotify:track:5DdkXF93YaZC6lB0TrgZQF","Kamo Mphela, Aymos, QUE DJ, Jay Music, SpacePose","Partii (feat. SpacePose)","KAMO MPHELA ENTERTAINMENT",53,53,4,"155577"
59,"spotify:track:2qxgejJTaZIHNSHDD22Uhl","Kabza De Small, DJ Maphorisa, Ami Faku","Abalele","Piano Hub",1,63,158,"154188"
60,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",60,78,3,"154068"
61,"spotify:track:6Brl7QagMzx1rpylg7C7cu","Samthing Soweto","Deda","Youbuntu",23,35,7,"149685"
62,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","ILH Production Co. LLC / Def Jam Recordings",62,-1,1,"149582"
63,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,59,34,"148792"
64,"spotify:track:2MSzTLwjCFUcGrxNFvU6pm","Kelvin Momo, Babalwa M, Da Muziqal Chef","Mkhuzeni (feat. Da Muziqal Chef)","Kelvin Momo Productions",16,58,7,"147387"
65,"spotify:track:7GaFYUqP2WdR4KTPk7cXoP","Mario","Let Me Love You","J Records",18,70,345,"147220"
66,"spotify:track:1AXW0WnNUceegJHGl3HWlJ","Sminofu","Rush Hour","Maskandi Heavyweight / EMPIRE",15,56,36,"147112"
67,"spotify:track:18z13CvLX9wuxVfbE3Lhnv","Phangandawo, Shenge, Mjabulisi","Luyazenzela","Independent",67,116,3,"146286"
68,"spotify:track:2fOazsCfbGoDQqwxIJLUzG","Naledi Aphiwe","Ngiyabonga","Naledi Aphiwe",40,51,71,"145258"
69,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,64,48,"144335"
70,"spotify:track:0lhLSwvRKGHfIcVEz3uQK6","Shallipopi","Laho","Since 93",4,69,21,"144123"
71,"spotify:track:7okq9yB2lZj9BTPd1KVzfh","Sfarzo Rtee, Jazzworx, Thukuthela, DBN Gogo","Asiyeni (feat. DBN Gogo)","Sfarzo Rtee Music (pty) LTD",71,89,2,"143968"
72,"spotify:track:4QdFYz1hjkDVDTqAKmIdOx","DJ Maphorisa, Xduppy, Scotts Maphuma, Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane, Kabelo Sings","Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)","New Money Gang Records",4,61,24,"143426"
73,"spotify:track:1JCVE6mp99UEW9zU9WUCMj","Sam Deep, Stixx, Nvcho, Zuma, Xolani Guitars","Kumnandi","Universal Music (Pty) Ltd. Distribution Deals",73,81,3,"143238"
74,"spotify:track:5nVQ2bPZjV9wlD2hboLe6l","LIMIT NALA","Awuhlabe Kabili","LIMIT NALA MUSIC",29,66,32,"143110"
75,"spotify:track:2ez4Ors2dEJlMvUYWTtHzj","Mroza Fakude, Shenge Wasehlalankosi, Msezane","Ayaphi Amaphoyisa","6175573 Records DK",75,100,2,"142965"
76,"spotify:track:6ropwvdWTm4YREZZ4M073V","Bobomfanawepiki","UMZILA WETHU","1477770 Records DK",44,75,7,"142004"
77,"spotify:track:5SvbnXu2wWe9e6ICWlMw1E","Shandesh, Hit Boss SA","Ga Mmapula","Shandesh Music",30,54,18,"141550"
78,"spotify:track:0aWHb6ujnlXkmmOI1ltStc","Mariah the Scientist","Burning Blue","Buckles Laboratories/Epic",72,73,11,"140293"
79,"spotify:track:2pdid5w8VxdgMmYlp7r17z","Mjolisi, Mnqobi yazo","My Dululu","3262181 Records DK",7,85,45,"139770"
80,"spotify:track:5VI0jL3U1EVMKgh3e9KXZ6","Dj Moscow, Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat","Ungangilimazi (feat. Frank Mabeat)","Sambo Records",19,67,37,"139574"
81,"spotify:track:0UUJITwaCJnhBECKzJmNTW","Umafikizolo, Nomfundo Moh","Inja Kabi Lena","Insika Yethonga",37,74,17,"139328"
82,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",4,82,78,"138755"
83,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",76,76,11,"138618"
84,"spotify:track:5DxDLsW6PsLz5gkwC7Mk5S","Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast","Free","K-Pop Demon Hunters",84,87,3,"137299"
85,"spotify:track:77DVbEGHnExzOPm6dEueC1","Dlala Thukzin, Kabza De Small, MK Productions, Zeh McGeba, Masuda","Muthi","Dlala Records (PTY) Ltd",46,72,12,"136700"
86,"spotify:track:1hnB525vM5GrFr5AQIXQu8","Caiiro, Ami Faku","Ndisize (feat. Ami Faku)","OwnIt Music",3,60,43,"136532"
87,"spotify:track:1HrNfmHud8ymX3iDl92WN4","Piano City, Kelvin Momo, Thatohatsi, Major League Djz, Tracy, PYY Log Drum King","Amalanga","Piano City",72,94,4,"135891"
88,"spotify:track:5TsjcsZxlhw85ChHMktd2g","Goon Flavour, Master KG, Naledi Aphiwe","Mina Nawe","Lea Records",35,83,18,"135311"
89,"spotify:track:4zE84yee9Mkrt5Dm6Yt4oL","Isaac And The Mighty Messengers","Le Habaka Etsa Eng","Isaac And The Mighty Messengers",89,97,2,"134655"
90,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",20,84,61,"134329"
91,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",22,92,377,"132164"
92,"spotify:track:0Y3kQx93aK7cVwvNn6pfoB","Nasty C, Usimamane","Soft","Tall Racks",29,106,6,"132115"
93,"spotify:track:6b9VMCogXvoK6OfNUBQ8T9","Yumbs, Zwayetoven, Kailey Botman, Khanyisa","Izimangaliso (feat. Kailey Botman & Khanyisa)","Warner Music Africa",93,110,6,"132103"
94,"spotify:track:5P03xImM2uFukzoty7NDw7","Travis Scott","KICK OUT","Cactus Jack / Epic",94,-1,1,"131695"
95,"spotify:track:53wwaMp15eGyE12Cm7sxLa","Xolly Mncwango","Ungukuphila","Universal Music (Pty) Ltd.",30,90,73,"131593"
96,"spotify:track:3HYUSkSJ0iQfocqdJmJqKw","GIVĒON","TWENTIES","Epic/Not So Fast",70,-1,5,"131567"
97,"spotify:track:0mh6Fg4hnUN8fzxBUD3Adl","Kharishma, Shebeshxt, Naqua, Mr Diego","DUBAI","4397321 Records DK",31,108,20,"131072"
98,"spotify:track:3JyEmaZmPsuIvFivnwN22k","Glenn Jones","All for You","Jive",81,91,120,"130972"
99,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",81,95,11,"130922"
100,"spotify:track:3jTedBPHIIr48xoJchYHNH","Kharishma, Ba Bethe Gashoazen","Chokeslem","4397321 Records DK",5,65,57,"130817"
101,"spotify:track:1097cG16gzkhlPgkUt6KA0","Travis Scott, Don Toliver","CHAMPAIN & VACAY","Cactus Jack / Epic",101,-1,1,"130423"
