rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","ILH Production Co. LLC / Def Jam Recordings",1,-1,1,"2469611"
2,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",2,3,4,"1677815"
3,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,2,23,"1556928"
4,"spotify:track:57GsLpRtEtrzcPGPop20rS","Drake","What Did I Miss?","OVO/Republic",1,1,2,"1450304"
5,"spotify:track:29iva9idM6rFCPUlu7Rhxl","Justin Bieber","YUKON","ILH Production Co. LLC / Def Jam Recordings",5,-1,1,"1378046"
6,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",4,4,4,"1352774"
7,"spotify:track:01p5urrGw5fuFCcfT7PBgc","Justin Bieber","GO BABY","ILH Production Co. LLC / Def Jam Recordings",7,-1,1,"1280346"
8,"spotify:track:72PVbRKkUimweUPV0nKAPs","Justin Bieber","ALL I CAN TAKE","ILH Production Co. LLC / Def Jam Recordings",8,-1,1,"1211818"
9,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",9,10,4,"1175568"
10,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",4,5,18,"1151941"
11,"spotify:track:04emojnbYkrRmv5qtJcgVP","Morgan Wallen, Tate McRae","What I Want (feat. Tate McRae)","Big Loud Records / Mercury Records / Republic Records",1,6,9,"1145277"
12,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",12,13,4,"1132913"
13,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",5,7,7,"1113001"
14,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,9,66,"1080229"
15,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",15,-1,1,"1043736"
16,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",7,11,20,"1041970"
17,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,8,78,"1024956"
18,"spotify:track:1j8TmNa6vaFAEAws43kP0Q","Justin Bieber","THINGS YOU DO","ILH Production Co. LLC / Def Jam Recordings",18,-1,1,"1018081"
19,"spotify:track:0LutvoC2HqCfnaRSjrhtzo","Justin Bieber","WALKING AWAY","ILH Production Co. LLC / Def Jam Recordings",19,-1,1,"1009037"
20,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",5,14,56,"979691"
21,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",1,15,62,"943377"
22,"spotify:track:42UBPzRMh5yyz0EDPr6fr1","Sabrina Carpenter","Manchild","Island Records",1,12,6,"937292"
23,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",20,20,3,"932794"
24,"spotify:track:1r3uOHPoiIv89Xb6K9bDH4","Justin Bieber, Gunna","WAY IT IS","ILH Production Co. LLC / Def Jam Recordings",24,-1,1,"932417"
25,"spotify:track:5cfsQZEFf1IpQr8F9vI9le","Justin Bieber","BUTTERFLIES","ILH Production Co. LLC / Def Jam Recordings",25,-1,1,"927507"
26,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,18,243,"916476"
27,"spotify:track:4AajxCEwGEsmHmT4H1TwjY","sombr","undressed","Warner Records",3,16,17,"901991"
28,"spotify:track:5DxDLsW6PsLz5gkwC7Mk5S","Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast","Free","K-Pop Demon Hunters",22,22,3,"875528"
29,"spotify:track:0MHStU0muAIEMbwdnebYu2","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Takedown","K-Pop Demon Hunters",25,25,3,"852569"
30,"spotify:track:2ipIPsgrgd0j2beDf4Ki70","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",13,17,12,"849905"
31,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",1,19,69,"844923"
32,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",24,24,155,"783490"
33,"spotify:track:2u9S9JJ6hTZS3Vf22HOZKg","Drake","NOKIA","OVO Sound",1,21,22,"782193"
34,"spotify:track:4uyBm26e7ElRigCH6vRbpc","Justin Bieber, Dijon","DEVOTION","ILH Production Co. LLC / Def Jam Recordings",34,-1,1,"779992"
35,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",27,27,5,"775698"
36,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,23,94,"764819"
37,"spotify:track:4ZZJ7S4Z1pEIvTUgN1oRzS","Justin Bieber","FIRST PLACE","ILH Production Co. LLC / Def Jam Recordings",37,-1,1,"745002"
38,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,29,39,"739424"
39,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",39,39,136,"736678"
40,"spotify:track:5z0LSDpPpGwc2ZyJHpsE3J","Morgan Wallen","Just In Case","Big Loud Records / Mercury Records / Republic Records",3,28,17,"733097"
41,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",9,31,74,"732475"
42,"spotify:track:0QCIpQV3twfqo9kh0t8Zza","MOLIY, Silent Addy, Skillibeng, Shenseea","Shake It To The Max (FLY) - Remix","WONDERGIRL LLC",14,26,13,"720555"
43,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",3,30,61,"719367"
44,"spotify:track:0qmhTHMVxnXRmT5N92wTD9","Alex Warren, Jelly Roll","Bloodline (with Jelly Roll)","Atlantic Records",5,40,8,"711419"
45,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",2,33,99,"711095"
46,"spotify:track:1osfLqL6L2iQsirRf83ded","Riley Green","Worst Way","Nashville Harbor",37,38,30,"707650"
47,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,34,48,"697777"
48,"spotify:track:2WQ09wqQBIOor7Q0VpIDBK","Black Eyed Peas","Rock That Body","Interscope",21,32,8,"690713"
49,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",42,42,126,"688922"
50,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,36,39,"676429"
51,"spotify:track:7u7IqryLFAygWFz6bsEB7y","Jessie Murph","Blue Strips","Columbia",3,35,13,"674214"
52,"spotify:track:1097cG16gzkhlPgkUt6KA0","Travis Scott, Don Toliver","CHAMPAIN & VACAY","Cactus Jack / Epic",52,-1,1,"669963"
53,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",53,58,32,"669830"
54,"spotify:track:6AX3i1TluzbvpJpKrY7NoD","Justin Bieber, Sexyy Red","SWEET SPOT","ILH Production Co. LLC / Def Jam Recordings",54,-1,1,"665827"
55,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",10,41,167,"661216"
56,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",1,51,42,"660112"
57,"spotify:track:5P03xImM2uFukzoty7NDw7","Travis Scott","KICK OUT","Cactus Jack / Epic",57,-1,1,"646734"
58,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",3,37,25,"644110"
59,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",2,57,121,"643747"
60,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",3,47,50,"630000"
61,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",5,43,24,"629343"
62,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",13,49,62,"628568"
63,"spotify:track:73kIKvg65QWieOKXIwyLJP","BigXthaPlug, Bailey Zimmerman","All The Way (feat. Bailey Zimmerman)","BigXthaPlug under exclusive license to UnitedMasters LLC",16,45,15,"627082"
64,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",14,46,9,"625263"
65,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",2,44,66,"618167"
66,"spotify:track:5mAGsieQbw180sYdL3RMKk","Morgan Wallen","Love Somebody","Big Loud Records / Mercury Records / Republic Records",2,52,39,"612210"
67,"spotify:track:3dYD57lRAUcMHufyqn9GcI","Hozier","Take Me To Church","Universal-Island Records Ltd.",37,56,159,"601365"
68,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",41,48,377,"600997"
69,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",6,50,33,"600663"
70,"spotify:track:4ZJ4vzLQekI0WntDbanNC7","Zach Bryan","Pink Skies","Warner Records",7,54,60,"599681"
71,"spotify:track:1rQEgtQNsj63xIUzEmKbML","Travis Scott","DUMBO","Cactus Jack / Epic",71,-1,1,"590195"
72,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,53,34,"580900"
73,"spotify:track:75JFxkI2RXiU7L9VXzMkle","Coldplay","The Scientist","Parlophone Records Limited",67,67,23,"575952"
74,"spotify:track:1KZG1H1OCugGqIRmk1wF9m","Sam Barber, Avery Anna","Indigo (feat. Avery Anna)","Atlantic Records",19,61,32,"573323"
75,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",46,60,255,"572943"
76,"spotify:track:3WQ5w7ruC3c861lHXF9Gs2","Justin Bieber, Cash Cobain, Eddie Benjamin","SWAG","ILH Production Co. LLC / Def Jam Recordings",76,-1,1,"572703"
77,"spotify:track:3fqwjXwUGN6vbzIwvyFMhx","Chris Stapleton","Tennessee Whiskey","Mercury Nashville",44,62,215,"569319"
78,"spotify:track:0eBFgRxyVSeuT4iyrbukdn","Luke Combs","Where the Wild Things Are","River House Artists/Columbia Nashville",32,64,69,"569105"
79,"spotify:track:5e9TFTbltYBg2xThimr0rU","Fleetwood Mac","The Chain - 2004 Remaster","Rhino/Warner Records",65,65,29,"566856"
80,"spotify:track:583dMdiUquLMenarTp7PQm","Morgan Wallen","Last Night","Morgan Wallen",1,68,129,"563955"
81,"spotify:track:2qqylaMQ54zfveakMkDULI","Justin Bieber, Lil B","DADZ LOVE","ILH Production Co. LLC / Def Jam Recordings",81,-1,1,"556571"
82,"spotify:track:7H6hs7WkNG48fS3agm63MR","Justin Bieber","GLORY VOICE MEMO","ILH Production Co. LLC / Def Jam Recordings",82,-1,1,"555839"
83,"spotify:track:5PAKAADzrSpMDxcaRpSDCm","Justin Bieber, Druski","SOULFUL","ILH Production Co. LLC / Def Jam Recordings",83,-1,1,"554943"
84,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",48,71,4,"548701"
85,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",30,69,262,"546188"
86,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",2,63,95,"541550"
87,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",4,73,67,"523052"
88,"spotify:track:0FDzzruyVECATHXKHFs9eJ","Coldplay","A Sky Full of Stars","Parlophone UK",88,99,13,"518454"
89,"spotify:track:1FhgmMvNlh3nJ1Ldc2eE6H","Koe Wetzel, Jessie Murph","High Road (feat. Jessie Murph)","Columbia",38,72,34,"514922"
90,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,75,120,"513975"
91,"spotify:track:2UikqkwBv7aIvlixeVXHWt","Chris Stapleton","You Should Probably Leave","Mercury Nashville",59,87,113,"513885"
92,"spotify:track:7gCautqfD7CCdrN33GrRd8","Justin Bieber","405","ILH Production Co. LLC / Def Jam Recordings",92,-1,1,"513422"
93,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",28,79,28,"512970"
94,"spotify:track:4mtmmBBEgdJLYWnLy5zvWE","Morgan Wallen, ERNEST","Cowgirls","Morgan Wallen",23,86,120,"512876"
95,"spotify:track:0k2GOhqsrxDTAbFFSdNJjT","Sean Paul","Temperature","VP Records",77,81,14,"508434"
96,"spotify:track:19GxfaRs5KdurzPKLVX3Cq","TWICE","TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)","Republic Records - TWICE",95,95,3,"503062"
97,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",3,77,132,"501916"
98,"spotify:track:422PeUrBywndaCCxL6bDBj","Justin Bieber","TOO LONG","ILH Production Co. LLC / Def Jam Recordings",98,-1,1,"499607"
99,"spotify:track:6GG4yyk3UATdBfTHVgI8PB","Luke Combs","Ain't No Love In Oklahoma (From Twisters: The Album)","Atlantic Records",15,83,61,"496134"
100,"spotify:track:1TE8AAk9koG0UJco6ZAUfx","Bailey Zimmerman","Rock and A Hard Place","Warner Music Nashville/Elektra",24,82,133,"494349"
101,"spotify:track:3t6gUcGYLrUuqwpXjOFWQc","Zach Top","I Never Lie","Leo33",68,74,28,"489948"
102,"spotify:track:4pkb8SbRGeHAvdb87v9rpf","Marshmello, Kane Brown","Miles On It","RCA Records Label Nashville",21,94,63,"485279"
103,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,133,283,"479809"
104,"spotify:track:57TEkZN3f84tFJFHFrD4pO","Morgan Wallen","Whiskey Glasses","Morgan Wallen",44,88,250,"479400"
105,"spotify:track:3xdjjKMcMOFgo1eQrfbogM","Darius Rucker","Wagon Wheel","Capitol Records Nashville",66,66,73,"476175"
106,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",47,80,35,"475568"
107,"spotify:track:7e89621JPkKaeDSTQ3avtg","Lynyrd Skynyrd","Sweet Home Alabama","Geffen*",55,55,99,"474832"
108,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",36,59,9,"471507"
109,"spotify:track:2RdEC8Ff83WkX7kDVCHseE","Charli xcx","party 4 u","Atlantic Records UK",38,78,13,"471166"
110,"spotify:track:02BcXEH1zJYbXSabPtNlKf","Don Toliver, Doja Cat, F1 The Album","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Atlantic Records",90,90,2,"470740"
111,"spotify:track:58is1MxJ0mafkdwalyYanU","Bailey Zimmerman, Luke Combs","Backup Plan (feat. Luke Combs)","Atlantic Records/Warner Music Nashville",50,108,11,"467976"
112,"spotify:track:26N5kAVhlqFOWAkuMQ5Kwe","Travis Scott, Playboi Carti, Future","WHERE WAS YOU","Cactus Jack / Epic",112,-1,1,"463270"
113,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",20,76,67,"462810"
114,"spotify:track:6Gp3pYkydEOkl8EHHJxa9s","Travis Scott, Sheck Wes, Don Toliver","2000 EXCURSION","Cactus Jack / Epic",114,-1,1,"461557"
115,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",76,102,40,"458344"
116,"spotify:track:1wOp7yTVyH176bW1z9WAiv","Alex Warren","Carry You Home","Atlantic Records",46,100,50,"457123"
117,"spotify:track:0GONea6G2XdnHWjNZd6zt3","Bryan Adams","Summer Of '69","A&M",75,89,81,"456932"
118,"spotify:track:0GRc3eGTg8HBdWLRGYgqIc","Ed Sheeran","Azizam","Gingerbread Man Records / Atlantic Records UK",33,105,15,"456856"
119,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",12,159,87,"454698"
120,"spotify:track:0hta2Lb2zKJ7kEnAEZEE3G","wifiskeleton, i wanna be a jack-o-lantern","Nope your too late i already died","9th St. / Hallwood",51,93,10,"454389"
121,"spotify:track:3EO58D1YpHnTvBy68gK8HE","Tucker Wetmore","Wind Up Missin’ You","Tucker Wetmore",39,101,63,"454015"
122,"spotify:track:5YiIOND9ZK72GaknWgiGqh","Justin Bieber, Druski","STANDING ON BUSINESS","ILH Production Co. LLC / Def Jam Recordings",122,-1,1,"453961"
123,"spotify:track:7tZlvvEpX3FEFoYsOI55FB","Justin Bieber, Druski","THERAPY SESSION","ILH Production Co. LLC / Def Jam Recordings",123,-1,1,"451217"
124,"spotify:track:7lv4SU2ATVjQJp6Jia0x7N","Lil Tecca","Dark Thoughts","Galactic / Republic Records",2,92,18,"450259"
125,"spotify:track:2A22iI0x4EYAVXNpKPhNEM","Ella Langley","weren't for the wind","SAWGOD/Columbia",85,91,16,"444710"
126,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",49,113,27,"443892"
127,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",1,96,47,"442814"
128,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",70,104,173,"438999"
129,"spotify:track:2Dct3GykKZ58hpWRFfe2Qd","Zach Bryan","Heading South","Warner Records",27,111,116,"437586"
130,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",40,112,35,"436309"
131,"spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5","The Doobie Brothers","Listen to the Music","Warner Records",106,106,16,"434349"
132,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",11,98,129,"433353"
133,"spotify:track:57bgtoPSgt236HzfBOd8kj","AC/DC","Thunderstruck","Columbia",101,114,61,"432224"
134,"spotify:track:2BkTPMr1v6Fr6JJwc4V7R5","TWICE","Strategy (from the Netflix film KPop Demon Hunters)","Republic Records - TWICE",134,148,2,"432023"
135,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",44,118,19,"431697"
136,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",18,124,250,"431652"
137,"spotify:track:1WmBVbFmLt0w6zPP37TeCG","PinkPantheress","Illegal","Warner Records",85,85,3,"431521"
